File_Path,Lines_of_Code,Purpose,Category,Key_Connections,Reusability_Level,Redundant,Redundant_Why,Merge_Plan
main.py,134,Simple multi-agent coordination demonstration,Core_Application,Standalone demo,Medium,YES,"Functionality superseded by sophisticated agent system. Same workflow achievable through main_api.py → main_agent.py","DELETE or CONVERT: (1) Delete main.py entirely as redundant, OR (2) Convert to integration test that validates main system produces equivalent results, OR (3) Move to examples/ directory and refactor to use real agent framework instead of hardcoded functions. RECOMMENDED: Delete and add demo endpoint to main_api.py that demonstrates same workflow using real agents."
main_api.py,76,FastAPI web interface for agent orchestration,Core_Application,main_agent.py → agents/core/reasoner.py,High,NO,"Essential web gateway providing HTTP access to agent system. Unique FastAPI implementation with proper routing and error handling.","N/A - Critical system component providing unique web interface functionality. No redundancy detected."
main_agent.py,222,Main agent orchestration controller with Tavily integration,Core_Application,agents/core/reasoner.py → artifact.py → Tavily API,High,NO,"Core orchestration hub integrating multiple system components. Unique Tavily integration and workflow coordination.","N/A - Central coordination component with unique integration capabilities. No redundancy detected."
setup.py,20,Package installation configuration,Configuration,Package management,Low,NO,"Only package configuration file in system. Essential for dependency management and installation.","N/A - Infrastructure requirement. Single source of package configuration."
agents/__init__.py,3,Package initialization,Package_Structure,agents/ namespace,Low,NO,"Required for Python package structure. Enables proper module imports and namespace organization.","N/A - Standard packaging requirement. Essential for Python module structure."
agents/core/__init__.py,3,Core package initialization,Package_Structure,agents/core/ namespace,Low,NO,"Required for Python package structure. Essential for module organization and imports. Enables proper 'from agents.core import' functionality.","N/A - Essential package structure component. Required for Python module system to work properly."
agents/core/base_agent.py,460,Universal async agent foundation with lifecycle management,Agent_Foundation,ALL agents inherit from this,HIGHEST,NO,"Critical foundation class that ALL agents depend on. Provides essential lifecycle management, capability handling, message processing, and knowledge graph integration. Implements core agent behaviors like initialization, cleanup, and status management.","N/A - Foundation component required by entire agent ecosystem. Core abstract class that defines the agent interface and provides shared functionality."
agents/core/agent_factory.py,309,Dynamic agent creation with template management,Agent_Management,agent_registry.py → base_agent.py,HIGHEST,NO,"Unique factory pattern implementation providing dynamic agent creation, scaling, and capability management. Includes sophisticated caching system, proper locking mechanisms, and knowledge graph integration.","N/A - Essential factory component that manages agent lifecycle. Provides unique functionality for agent creation, scaling, and template management."
agents/core/agent_registry.py,884,Central agent management with observer patterns,Agent_Management,Hub connecting all agents,HIGHEST,NO,"Central coordination hub managing all agent operations. Provides unique registration, discovery, and coordination features. Implements observer pattern for agent lifecycle events.","N/A - Essential coordination infrastructure. Core component that enables agent discovery and interaction."
agents/core/scientific_swarm_agent.py,280,Enhanced base class for research operations,Agent_Foundation,base_agent.py → kg/models/graph_manager.py,High,NO,"Specialized research functionality extending base agent. Provides unique research workflow and consensus mechanisms. Implements sophisticated swarm coordination for research tasks.","N/A - Research-specific capabilities not available elsewhere. Unique implementation for scientific operations."
agents/core/capability_types.py,288,70+ predefined capability types with version management,Type_System,Used by all agents for capabilities,HIGHEST,NO,Universal type system foundation providing 70+ capability types. No other component defines capability vocabulary,N/A - Essential type system required by entire agent ecosystem
agents/core/workflow_manager.py,479,Transaction-based workflow orchestration with ACID compliance,Workflow_Management,agent_registry.py → workflow_monitor.py,High,NO,Unique enterprise-grade workflow orchestration system. No other component provides transaction-based workflow management,N/A - Only component providing workflow orchestration with ACID compliance
agents/core/workflow_monitor.py,539,Real-time workflow monitoring and analytics,Workflow_Management,workflow_manager.py → workflow_persistence.py,High,NO,Specialized monitoring system with Prometheus integration. No other component provides workflow analytics and alerting,N/A - Only component providing real-time workflow monitoring and alerting
agents/core/reasoner.py,249,Knowledge graph reasoning and inference,Knowledge_Processing,kg/models/graph_manager.py → main_agent.py,High,NO,Unique reasoning engine providing SPARQL querying and logical inference. No other component provides knowledge graph reasoning,N/A - Only component bridging knowledge graph with main agent orchestration
agents/core/agentic_prompt_agent.py,275,Dynamic prompt engineering and review orchestration,Specialized_Agent,scientific_swarm_agent.py → kg/,Medium,NO,Specialized prompt engineering functionality. Complements rather than duplicates code_review_agent - focuses on prompt generation while code_review_agent does actual AST analysis,N/A - Unique prompt template management and generation system
agents/core/research_agent.py,273,Specialized research operations agent,Specialized_Agent,scientific_swarm_agent.py → main_agent.py,Medium,YES,"Contains duplicate _process_message_impl methods (lines 96-140 and 252-274). Research functionality overlaps with scientific_swarm_agent.py which already provides research operations and consensus mechanisms. Specific issues: 1) Duplicate message processing, 2) Overlapping research capabilities, 3) Redundant knowledge graph integration.","MERGE with scientific_swarm_agent.py: (1) Move unique research investigation methods (_conduct_research, _explore_research_paths, _build_evidence_chain, _calculate_confidence) into scientific_swarm_agent.py as additional methods, (2) Remove duplicate _process_message_impl method, (3) Delete research_agent.py file, (4) Update imports in main_agent.py to use research methods from scientific_swarm_agent, (5) Consolidate research functionality into single location to eliminate duplication."
agents/core/supervisor_agent.py,214,Multi-agent coordination and management,Agent_Management,agent_registry.py → workflow_manager.py,Medium,PARTIAL,"Contains duplicate _process_message_impl methods (lines 64-107 and 181-214). Agent management functionality overlaps with agent_registry.py which already provides agent coordination and management. Specific issues: 1) Duplicate message handling, 2) Overlapping agent management, 3) Redundant workload monitoring.","REFACTOR: (1) Remove duplicate _process_message_impl method (keep first implementation, remove second generic one), (2) Move unique auto-scaling and workload monitoring logic to agent_factory.py as scaling strategies, (3) Keep supervisor as lightweight orchestrator that delegates to agent_registry and agent_factory, (4) Update agent_factory.py to include workload monitoring and auto-scaling capabilities, (5) Supervisor becomes thin coordination layer without duplicating existing functionality."
