============================= test session starts ==============================
platform darwin -- Python 3.11.8, pytest-8.4.0, pluggy-1.6.0 -- /Users/nicholasbaro/Python/semant/venv/bin/python3.11
cachedir: .pytest_cache
rootdir: /Users/nicholasbaro/Python/semant
configfile: pytest.ini
plugins: anyio-4.9.0, cov-4.1.0, langsmith-0.3.43, mock-3.12.0, asyncio-1.0.0
asyncio: mode=Mode.AUTO, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 243 items

tests/agents/test_code_review_agent.py::test_agent_initialization PASSED [  0%]
tests/agents/test_code_review_agent.py::test_code_review_basic_functionality PASSED [  0%]
tests/agents/test_code_review_agent.py::test_code_review_error_handling PASSED [  1%]
tests/agents/test_code_review_agent.py::test_analysis_functions_mocked PASSED [  1%]
tests/agents/test_code_review_agent.py::test_scoring_and_recommendations PASSED [  2%]
tests/agents/test_code_review_agent.py::test_message_processing_basic PASSED [  2%]
tests/test_agent_factory.py::test_create_agent PASSED                    [  2%]
tests/test_agent_factory.py::test_create_capability_agent PASSED         [  3%]
tests/test_agent_factory.py::test_agent_initialization PASSED            [  3%]
tests/test_agent_factory.py::test_agent_capability_management PASSED     [  4%]
tests/test_agent_integrator.py::test_register_agent FAILED               [  4%]
tests/test_agent_integrator.py::test_route_message FAILED                [  4%]
tests/test_agent_integrator.py::test_broadcast_message FAILED            [  5%]
tests/test_agent_integrator.py::test_get_agent_status FAILED             [  5%]
tests/test_agent_integrator.py::test_get_all_agent_statuses FAILED       [  6%]
tests/test_agent_integrator.py::test_knowledge_graph_updates FAILED      [  6%]
tests/test_agent_integrator.py::test_knowledge_graph_queries FAILED      [  6%]
tests/test_agent_integrator.py::test_process_message_called_during_routing FAILED [  7%]
tests/test_agent_recovery.py::test_agent_recovery PASSED                 [  7%]
tests/test_agent_recovery.py::test_agent_recovery_success PASSED         [  8%]
tests/test_agent_recovery.py::test_agent_recovery_failure PASSED         [  8%]
tests/test_agent_recovery.py::test_agent_recovery_timeout PASSED         [  9%]
tests/test_agent_recovery.py::test_max_recovery_attempts PASSED          [  9%]
tests/test_agent_recovery.py::test_role_recovery PASSED                  [  9%]
tests/test_agent_recovery.py::test_knowledge_graph_integration PASSED    [ 10%]
tests/test_agent_recovery.py::test_recovery_strategies PASSED            [ 10%]
tests/test_agent_recovery.py::test_recovery_strategy_metrics PASSED      [ 11%]
tests/test_agent_recovery.py::test_kg_initialization_failure PASSED      [ 11%]
tests/test_agent_recovery.py::test_kg_query_failure PASSED               [ 11%]
tests/test_agent_recovery.py::test_kg_update_failure PASSED              [ 12%]
tests/test_agent_recovery.py::test_kg_transaction_rollback PASSED        [ 12%]
tests/test_agent_recovery.py::test_kg_cache_invalidation PASSED          [ 13%]
tests/test_agents.py::TestBaseAgent::test_initialization PASSED          [ 13%]
tests/test_agents.py::TestBaseAgent::test_state_transitions PASSED       [ 13%]
tests/test_agents.py::TestBaseAgent::test_message_handling PASSED        [ 14%]
tests/test_agents.py::TestSensorAgent::test_process_message PASSED       [ 14%]
tests/test_agents.py::TestDataProcessorAgent::test_process_message PASSED [ 15%]
tests/test_agents.py::TestPromptAgent::test_prompt_generation PASSED     [ 15%]
tests/test_agents.py::TestPromptAgent::test_code_review PASSED           [ 16%]
tests/test_agents.py::TestPromptAgent::test_template_management PASSED   [ 16%]
tests/test_agents.py::TestPromptAgent::test_error_handling PASSED        [ 16%]
tests/test_capability_handling.py::test_capability_type_conversion FAILED [ 17%]
tests/test_capability_handling.py::test_capability_operations PASSED     [ 17%]
tests/test_capability_handling.py::test_registry_capability_handling FAILED [ 18%]
tests/test_capability_handling.py::test_capability_consistency FAILED    [ 18%]
tests/test_capability_handling.py::test_capability_edge_cases FAILED     [ 18%]
tests/test_capability_handling.py::test_capability_initialization PASSED [ 19%]
tests/test_capability_management.py::TestCapabilityManagement::test_add_capability PASSED [ 19%]
tests/test_capability_management.py::TestCapabilityManagement::test_remove_capability PASSED [ 20%]
tests/test_capability_management.py::TestCapabilityManagement::test_remove_nonexistent_capability PASSED [ 20%]
tests/test_capability_management.py::TestCapabilityManagement::test_knowledge_graph_updates PASSED [ 20%]
tests/test_capability_management.py::TestCapabilityManagement::test_capability_conflicts PASSED [ 21%]
tests/test_capability_management.py::TestCapabilityManagement::test_capability_dependencies PASSED [ 21%]
tests/test_chat_endpoint.py::test_chat_endpoint PASSED                   [ 22%]
tests/test_chat_endpoint.py::test_chat_with_history PASSED               [ 22%]
tests/test_chat_endpoint.py::test_chat_help_message PASSED               [ 23%]
tests/test_consulting_agents.py::test_engagement_initialization FAILED   [ 23%]
tests/test_consulting_agents.py::test_strategy_development FAILED        [ 23%]
tests/test_consulting_agents.py::test_implementation_planning FAILED     [ 24%]
tests/test_consulting_agents.py::test_value_framework_development FAILED [ 24%]
tests/test_consulting_agents.py::test_end_to_end_engagement FAILED       [ 25%]
tests/test_consulting_agents.py::test_knowledge_graph_consistency FAILED [ 25%]
tests/test_consulting_agents.py::test_agent_diary_functionality FAILED   [ 25%]
tests/test_consulting_agents.py::test_agent_diary_in_knowledge_graph FAILED [ 26%]
tests/test_dynamic_agents.py::test_agent_initialization ERROR            [ 26%]
tests/test_dynamic_agents.py::test_capability_tracking ERROR             [ 27%]
tests/test_dynamic_agents.py::test_knowledge_graph_operations ERROR      [ 27%]
tests/test_dynamic_agents.py::test_agent_creation FAILED                 [ 27%]
tests/test_dynamic_agents.py::test_role_delegation FAILED                [ 28%]
tests/test_dynamic_agents.py::test_agent_scaling FAILED                  [ 28%]
tests/test_dynamic_agents.py::test_supervisor_agent FAILED               [ 29%]
tests/test_dynamic_agents.py::test_workload_monitoring FAILED            [ 29%]
tests/test_email_send.py::test_email FAILED                              [ 30%]
tests/test_graph_monitoring.py::test_stats_collection FAILED             [ 30%]
tests/test_graph_monitoring.py::test_timestamp_tracking PASSED           [ 30%]
tests/test_graph_monitoring.py::test_cache_monitoring FAILED             [ 31%]
tests/test_graph_monitoring.py::test_index_monitoring PASSED             [ 31%]
tests/test_graph_monitoring.py::test_performance_monitoring FAILED       [ 32%]
tests/test_graph_optimizations.py::test_knowledge_graph_manager_add_triple PASSED [ 32%]
tests/test_graph_optimizations.py::test_knowledge_graph_manager_timestamp_tracking PASSED [ 32%]
tests/test_graph_optimizations.py::test_async_lru_cache PASSED           [ 33%]
tests/test_graph_optimizations.py::test_triple_indexing PASSED           [ 33%]
tests/test_graph_optimizations.py::test_concurrent_operations PASSED     [ 34%]
tests/test_graph_optimizations.py::test_cache_invalidation PASSED        [ 34%]
tests/test_graph_performance.py::test_query_performance PASSED           [ 34%]
tests/test_graph_performance.py::test_concurrent_query_performance PASSED [ 35%]
tests/test_graph_performance.py::test_indexing_performance PASSED        [ 35%]
tests/test_graph_performance.py::test_cache_eviction_performance PASSED  [ 36%]
tests/test_graph_performance.py::test_memory_usage PASSED                [ 36%]
tests/test_graphdb_integration.py::test_graphdb_connection PASSED        [ 37%]
tests/test_graphdb_integration.py::test_add_and_query_triple PASSED      [ 37%]
tests/test_graphdb_integration.py::test_reasoner_with_graphdb PASSED     [ 37%]
tests/test_graphdb_integration.py::test_traverse_knowledge_graph PASSED  [ 38%]
tests/test_implementation_guide.py::test_pdf_exists[Data Collected During Interactions.pdf] PASSED [ 38%]
tests/test_implementation_guide.py::test_pdf_exists[Self-Assembling AI Agent Architectures for Dynamic Corporate Knowledge Systems.pdf] PASSED [ 39%]
tests/test_implementation_guide.py::test_pdf_exists[Agent Initialization Prompt for a Multi-Agent Knowledge Graph System.pdf] PASSED [ 39%]
tests/test_implementation_guide.py::test_pdf_exists[Judge Agent System Initialization.pdf] PASSED [ 39%]
tests/test_implementation_guide.py::test_pdf_exists[Analysis of the Cohort Definition RDF File and Knowledge Graph Integration.pdf] PASSED [ 40%]
tests/test_implementation_guide.py::test_pdf_exists[Comparable Multi-Agent Knowledge-Graph Systems.pdf] PASSED [ 40%]
tests/test_implementation_guide.py::test_pdf_header[Data Collected During Interactions.pdf] PASSED [ 41%]
tests/test_implementation_guide.py::test_pdf_header[Self-Assembling AI Agent Architectures for Dynamic Corporate Knowledge Systems.pdf] PASSED [ 41%]
tests/test_implementation_guide.py::test_pdf_header[Agent Initialization Prompt for a Multi-Agent Knowledge Graph System.pdf] PASSED [ 41%]
tests/test_implementation_guide.py::test_pdf_header[Judge Agent System Initialization.pdf] PASSED [ 42%]
tests/test_implementation_guide.py::test_pdf_header[Analysis of the Cohort Definition RDF File and Knowledge Graph Integration.pdf] PASSED [ 42%]
tests/test_implementation_guide.py::test_pdf_header[Comparable Multi-Agent Knowledge-Graph Systems.pdf] PASSED [ 43%]
tests/test_integration_management.py::test_integration_management ERROR  [ 43%]
tests/test_integration_management.py::test_module_management ERROR       [ 44%]
tests/test_integration_management.py::test_integration_metrics ERROR     [ 44%]
